,open,high,low,close,volume,amt,turn,oi
2017-04-20 00:00:00,2324.3661,2336.5435,2320.9971,2335.6472,2657672500.0,32243770984.0,0.1695,
2017-04-21 00:00:00,2336.4448,2350.87,2333.2339,2347.6745,2707371200.0,29654139738.0,0.1727,
2017-04-24 00:00:00,2344.1921,2344.1921,2323.6676,2341.9296,3109300700.0,34439046268.0,0.1983,
2017-04-25 00:00:00,2337.5206,2348.6026,2334.0037,2344.741,1938294300.0,24053129870.0,0.1236,
2017-04-26 00:00:00,2345.6275,2360.2819,2338.8564,2344.5049,2647062200.0,32375909169.0,0.1688,
2017-04-27 00:00:00,2337.4558,2352.6806,2327.4745,2351.6403,2983407600.0,32332181912.0,0.1903,
2017-04-28 00:00:00,2348.2876,2348.2876,2331.824,2347.0391,2073368300.0,25027445315.0,0.1322,
2017-05-02 00:00:00,2341.7482,2350.5147,2334.8824,2336.7917,1621832100.0,19299425102.0,0.1034,
2017-05-03 00:00:00,2335.8206,2342.143,2324.1919,2329.7661,1874768500.0,21306113201.0,0.1196,
2017-05-04 00:00:00,2325.0077,2332.0897,2317.1372,2325.4332,2076741000.0,23662230428.0,0.1324,
2017-05-05 00:00:00,2318.9217,2320.6020000000003,2297.4492,2320.6020000000003,3095107400.0,33979252417.0,0.1974,
2017-05-08 00:00:00,2309.2437,2326.0968,2298.3179999999998,2326.0968,3465012300.0,38506527297.0,0.221,
2017-05-09 00:00:00,2312.8502,2320.2946,2307.8681,2316.2944,1615731500.0,20310246269.0,0.10300000000000001,
2017-05-10 00:00:00,2315.561,2337.0466,2315.561,2324.9219,2231892600.0,29082185108.0,0.1423,
2017-05-11 00:00:00,2318.0494,2342.1845,2313.8327,2339.2903,2839544100.0,31483872623.0,0.1811,
2017-05-12 00:00:00,2336.6071,2375.6392,2335.3745,2375.4495,2890678400.0,32145338936.0,0.1844,
2017-05-15 00:00:00,2380.2743,2394.5172,2378.9741,2381.7516,2341241000.0,28055294184.0,0.1493,
2017-05-16 00:00:00,2376.9048,2381.732,2362.1128,2381.317,2389204700.0,27292942013.0,0.1524,
2017-05-17 00:00:00,2377.1211,2378.987,2361.6292,2363.5591,2085822500.0,24900860658.0,0.133,
2017-05-18 00:00:00,2348.8720000000003,2361.0157,2347.377,2354.7529999999997,1712123100.0,21258547530.0,0.1092,
2017-05-19 00:00:00,2351.5202,2363.3566,2351.5202,2361.6616,1430456800.0,18966709971.0,0.0912,
2017-05-22 00:00:00,2359.9686,2384.157,2358.7809,2381.5525,2278023100.0,28751136186.0,0.1453,
2017-05-23 00:00:00,2378.7444,2412.0257,2376.6431,2411.7999,3462055600.0,41243924524.0,0.2208,
2017-05-24 00:00:00,2402.5176,2413.4211,2382.1873,2407.5706,2277433200.0,28642322409.0,0.1452,
2017-05-25 00:00:00,2399.3599,2476.9092,2399.2744,2473.4953,5036333500.0,53142705847.0,0.3212,
2017-05-26 00:00:00,2467.9024,2483.7474,2462.2339,2471.2141,3098973300.0,36527500459.0,0.1968,
2017-05-31 00:00:00,2470.9351,2502.8461,2462.258,2479.078,2987834400.0,37045182127.0,0.1897,
2017-06-01 00:00:00,2476.2051,2497.6867,2465.4762,2496.4482,3076633000.0,37798053562.0,0.1954,
2017-06-02 00:00:00,2494.3694,2499.7051,2472.6496,2475.4636,2366414800.0,28341836180.0,0.1503,
2017-06-05 00:00:00,2468.9369,2473.3565,2442.2693,2450.3457,2873585700.0,29094732475.0,0.1825,
2017-06-06 00:00:00,2447.0401,2466.3129,2444.1931,2466.0064,1746732200.0,22598702078.0,0.1109,
2017-06-07 00:00:00,2468.5513,2492.9847,2464.1886,2484.0334,2713840800.0,34088120474.0,0.1723,
2017-06-08 00:00:00,2481.1646,2508.9349,2475.7447,2507.0335,2207086000.0,29227278562.0,0.1402,
2017-06-09 00:00:00,2506.758,2536.9931,2504.9001,2519.2731,3377330900.0,39637188806.0,0.2145,
2017-06-12 00:00:00,2515.5759,2545.0373,2512.143,2521.1681,2572086900.0,33894565405.0,0.1672,
2017-06-13 00:00:00,2517.3334,2519.1482,2499.7299,2515.1427,1748792100.0,24470316904.0,0.1137,
2017-06-14 00:00:00,2505.0635,2505.2011,2471.6184,2477.3173,2184110800.0,29833245385.0,0.142,
2017-06-15 00:00:00,2474.2624,2481.7995,2453.1344,2461.974,2070254500.0,28607609121.0,0.1346,
2017-06-16 00:00:00,2454.8405,2466.6922,2448.3106,2452.7899,1651804400.0,23251565457.0,0.1074,
2017-06-19 00:00:00,2455.0312,2486.3139,2453.3495,2484.1159,2059400400.0,26899358952.0,0.1339,
2017-06-20 00:00:00,2489.1996,2492.2223,2467.7656,2474.4253,1777115300.0,24584405328.0,0.1155,
2017-06-21 00:00:00,2487.8517,2498.1901,2468.5135,2497.2544,2035421700.0,30603689504.0,0.1322,
2017-06-22 00:00:00,2491.9235,2544.6674,2491.9235,2516.6729,4374394400.0,53825786308.0,0.2842,
2017-06-23 00:00:00,2510.7110000000002,2530.5595,2496.6608,2529.0983,2940395100.0,37695703375.0,0.191,
2017-06-26 00:00:00,2531.2806,2560.1065,2531.2806,2543.3213,3971674800.0,49718219294.0,0.2581,
2017-06-27 00:00:00,2541.6862,2558.0965,2529.2391,2554.6996,2698471300.0,33511465515.0,0.1753,
2017-06-28 00:00:00,2548.1571,2560.8558,2537.235,2537.6363,2819497000.0,35655498939.0,0.1832,
2017-06-29 00:00:00,2541.3483,2554.7977,2532.462,2552.9754,1975437600.0,26914436769.0,0.1284,
2017-06-30 00:00:00,2543.7865,2552.9219,2533.8595,2549.9676,1867717700.0,23781990192.0,0.1214,
2017-07-03 00:00:00,2550.4968,2550.4968,2522.7441,2534.3675,1830421300.0,25254138996.0,0.1189,
2017-07-04 00:00:00,2531.5259,2531.6057,2506.6818,2511.1507,2354712800.0,30659910520.0,0.153,
2017-07-05 00:00:00,2508.8126,2551.408,2507.9205,2548.0993,2060765400.0,31435616251.0,0.1339,
2017-07-06 00:00:00,2543.909,2561.6364,2534.1207,2553.8793,2223462400.0,33132156331.0,0.1445,
2017-07-07 00:00:00,2542.9093,2546.7756,2527.548,2543.6576,2251006200.0,29785522487.0,0.1463,
2017-07-10 00:00:00,2538.1582,2557.4727,2530.9276,2550.1147,2530514500.0,33457188875.0,0.1644,
2017-07-11 00:00:00,2543.72,2592.0575,2543.0489,2570.5919,3396822800.0,41538299333.0,0.2207,
2017-07-12 00:00:00,2570.9128,2604.1973,2555.3837,2565.1428,3707059500.0,43416548177.0,0.2409,
2017-07-13 00:00:00,2565.5942,2601.467,2563.2209,2600.9535,4287157400.0,50979652188.0,0.278,
2017-07-14 00:00:00,2600.7644,2623.3154,2593.4299,2622.9835,3365328500.0,39772289956.0,0.2182,
2017-07-17 00:00:00,2627.3746,2663.2835,2594.4247,2631.4144,6086594900.0,68239169350.0,0.3947,
2017-07-18 00:00:00,2619.2303,2637.532,2596.1224,2624.3081,3943504000.0,46730935042.0,0.2557,
2017-07-19 00:00:00,2621.112,2661.6587,2618.3689,2657.8882,4868889700.0,60808696801.0,0.3157,
2017-07-20 00:00:00,2653.3794,2666.0446,2643.6418,2665.4483,3758073300.0,48880732330.0,0.2437,
2017-07-21 00:00:00,2655.2284,2661.4764,2634.9951,2639.2128,2971556200.0,41342809548.0,0.1927,
2017-07-24 00:00:00,2636.5514,2666.6518,2632.7575,2654.3785,3305656600.0,41940145552.0,0.2143,
2017-07-25 00:00:00,2656.4773,2667.7864,2639.6062,2643.0733,3418541300.0,37771702666.0,0.2217,
2017-07-26 00:00:00,2642.2587,2665.1490000000003,2617.5460000000003,2636.2005,3544725600.0,41955306629.0,0.2298,
2017-07-27 00:00:00,2631.9978,2638.9404,2610.5758,2636.6262,3067012600.0,38024537065.0,0.1989,
2017-07-28 00:00:00,2627.1593,2642.6914,2619.0355,2636.3937,2193446500.0,28588923662.0,0.1422,
2017-07-31 00:00:00,2633.8821,2649.2942,2626.1827,2638.1244,2864776300.0,37904968806.0,0.1857,
2017-08-01 00:00:00,2640.8671,2681.9347,2638.0214,2681.8054,3382050700.0,47788869621.0,0.2193,
2017-08-02 00:00:00,2679.3364,2696.6417,2675.2015,2680.6314,4222237700.0,53708274668.0,0.2729,
2017-08-03 00:00:00,2676.348,2689.9388,2644.9871,2646.2164,3181516800.0,40554215540.0,0.2057,
2017-08-04 00:00:00,2644.4459,2653.8128,2627.2482,2627.8026,2795995200.0,38299815616.0,0.1807,
2017-08-07 00:00:00,2621.546,2641.3412,2613.8249,2634.1759,2608610900.0,34629740074.0,0.1686,
2017-08-08 00:00:00,2632.0435,2639.2415,2622.2606,2635.1841,2578246800.0,33964139987.0,0.1665,
2017-08-09 00:00:00,2630.67,2634.4349,2618.8132,2620.3807,2470791100.0,33204150496.0,0.1595,
2017-08-10 00:00:00,2617.9885,2635.3509999999997,2590.8637,2611.3412,2817147900.0,39580893961.0,0.1819,
2017-08-11 00:00:00,2592.038,2599.7121,2566.5727,2570.2565,3517096000.0,44276237777.0,0.2271,
2017-08-14 00:00:00,2572.3008,2598.3794,2567.6009,2591.4536,2611890000.0,36279971337.0,0.1686,
2017-08-15 00:00:00,2593.0719,2623.0837,2592.9242,2605.2415,2790097600.0,33091743587.0,0.1801,
2017-08-16 00:00:00,2601.4708,2602.0988,2586.3352,2595.0017,2035181100.0,25167149993.0,0.1314,
2017-08-17 00:00:00,2599.0419,2606.6849,2591.542,2604.0837,2057110500.0,27778492685.0,0.1328,
2017-08-18 00:00:00,2601.8845,2621.9693,2595.8647,2613.2647,1989782800.0,31122548701.0,0.1285,
2017-08-21 00:00:00,2619.0381,2628.8017,2610.257,2616.8248,1943687200.0,27074874330.0,0.1255,
2017-08-22 00:00:00,2624.4106,2644.1982,2620.1589,2643.5032,2711818200.0,37445333103.0,0.1751,
2017-08-23 00:00:00,2641.792,2673.3854,2639.6618,2659.7804,3469179400.0,41179121745.0,0.22399999999999998,
2017-08-24 00:00:00,2659.6517,2675.1978,2641.8253,2646.4016,2993921100.0,33887056125.0,0.1933,
2017-08-25 00:00:00,2645.4491,2706.7039,2645.4491,2706.2421,4749375100.0,53051877580.0,0.3066,
2017-08-28 00:00:00,2715.4696,2766.79,2715.4696,2736.4617,6050109800.0,77248845265.0,0.3906,
2017-08-29 00:00:00,2734.4459,2746.103,2726.218,2739.1290000000004,3526228400.0,46759798714.0,0.2277,
2017-08-30 00:00:00,2739.9951,2762.0668,2720.6558,2728.2308,4205280300.0,53736565089.0,0.2715,
2017-08-31 00:00:00,2729.4694,2735.4262,2701.8849,2714.6313,4018223400.0,46855537263.0,0.2594,
2017-09-01 00:00:00,2716.0543,2734.7684,2700.1618,2710.1186,4309329600.0,52472882984.0,0.2782,
2017-09-04 00:00:00,2703.3303,2713.7289,2691.7754,2711.3475,3319628900.0,43569185632.0,0.2143,
2017-09-05 00:00:00,2712.7609,2738.594,2711.1738,2729.8476,3053478800.0,39043619969.0,0.1971,
2017-09-06 00:00:00,2721.9475,2725.2397,2703.6515,2714.3309,3113793300.0,40907423467.0,0.201,
2017-09-07 00:00:00,2716.1251,2717.5555,2690.8771,2691.829,2763611100.0,37181801275.0,0.1784,
2017-09-08 00:00:00,2692.7975,2701.5697,2681.4428,2686.6899,2447129200.0,32599542138.0,0.158,
2017-09-11 00:00:00,2691.3364,2708.4223,2673.6232,2674.7502,2908410100.0,40085267926.0,0.1878,
2017-09-12 00:00:00,2682.2494,2695.525,2672.285,2692.5401,3078832300.0,44847896342.0,0.1988,
2017-09-13 00:00:00,2690.5596,2694.4138,2676.2487,2687.6707,2119772000.0,28986307164.0,0.1369,
2017-09-14 00:00:00,2688.3998,2694.775,2666.8169,2672.8364,2858673700.0,36529833539.0,0.1846,
2017-09-15 00:00:00,2669.653,2677.5329,2659.7328,2668.3759,3464898000.0,43243332307.0,0.2237,
2017-09-18 00:00:00,2670.1977,2694.0589,2670.1977,2674.1759,3313463900.0,44470273326.0,0.2139,
2017-09-19 00:00:00,2680.7159,2687.1837,2661.6095,2670.6914,3008735900.0,37488875261.0,0.1942,
2017-09-20 00:00:00,2667.2401,2675.2112,2661.8681,2662.6266,2536794000.0,32883593692.0,0.1638,
2017-09-21 00:00:00,2664.0525,2690.3598,2660.5309,2675.5508,3175345200.0,39541814535.0,0.205,
2017-09-22 00:00:00,2666.6655,2686.4094,2662.8382,2679.0529,2635975000.0,33471981305.0,0.1702,
2017-09-25 00:00:00,2672.9453,2682.7495,2667.3055,2680.6516,3198142000.0,39930427514.0,0.2065,
2017-09-26 00:00:00,2673.5445,2681.2329,2673.3966,2678.9912,1928317700.0,24098925149.0,0.1245,
2017-09-27 00:00:00,2674.4102,2677.7437,2659.5963,2661.5532,2005863700.0,25198603171.0,0.1295,
2017-09-28 00:00:00,2661.5413,2663.6951,2653.4645,2661.2832,2166188100.0,26189371648.0,0.1399,
2017-09-29 00:00:00,2661.5229,2682.1695,2660.8582,2672.3272,2020466800.0,27595164102.0,0.1304,
2017-10-09 00:00:00,2736.8345,2743.3643,2688.5382,2692.0769,4148929200.0,48635654051.0,0.2679,
2017-10-10 00:00:00,2693.2509999999997,2711.3065,2671.9426,2695.5374,2997472700.0,43282245847.0,0.1935,
2017-10-11 00:00:00,2694.4982,2717.3281,2692.7692,2707.5221,2459848300.0,33211929719.0,0.1588,
2017-10-12 00:00:00,2706.4203,2724.8346,2702.3134,2718.3508,2392287700.0,31885586752.0,0.1544,
2017-10-13 00:00:00,2716.0041,2722.2311,2711.9544,2713.3767,1927340900.0,26260593293.0,0.1244,
2017-10-16 00:00:00,2719.3095,2741.0971,2715.0511,2726.6423,2557589800.0,35091358627.0,0.1651,
2017-10-17 00:00:00,2725.1997,2734.3072,2716.4042,2723.5345,1797980900.0,24598831240.0,0.1161,
2017-10-18 00:00:00,2725.6666,2753.9229,2723.7626,2753.0105,2826082100.0,35436442988.0,0.1824,
2017-10-19 00:00:00,2750.6359,2756.0354,2743.1343,2756.0354,2861786900.0,37232948624.0,0.1847,
2017-10-20 00:00:00,2744.4945,2746.2294,2733.7199,2737.6411,1609842100.0,21717579711.0,0.1039,
2017-10-23 00:00:00,2744.325,2746.9989,2732.6321,2734.3683,1954603500.0,24707305078.0,0.1262,
2017-10-24 00:00:00,2732.9435,2762.594,2730.8414,2753.6492,2487082700.0,33123069436.0,0.1605,
2017-10-25 00:00:00,2753.9297,2756.7629,2746.2667,2752.1394,1964672200.0,23785824324.0,0.1268,
2017-10-26 00:00:00,2760.0647,2788.6564,2753.7271,2771.0435,4147318800.0,54784605665.0,0.2677,
2017-10-27 00:00:00,2770.5287,2815.4190000000003,2769.4266,2814.272,4030195600.0,51199079647.0,0.2601,
2017-10-30 00:00:00,2812.2381,2822.5891,2780.0454,2809.1069,4800487900.0,62621423012.0,0.3099,
2017-10-31 00:00:00,2795.5379,2797.7884,2785.1578,2793.7119,3237037100.0,40543780867.0,0.2089,
2017-11-01 00:00:00,2795.1916,2816.2952,2782.0608,2789.4022,4620413200.0,57994095087.0,0.2982,
2017-11-02 00:00:00,2788.1144,2796.4305,2771.1529,2794.1017,3752686800.0,45419208697.0,0.2422,
2017-11-03 00:00:00,2789.5399,2803.3141,2770.1248,2800.4688,3890616000.0,46914635940.0,0.2511,
2017-11-06 00:00:00,2798.4715,2798.4715,2776.9492,2792.2237,3326891000.0,43470106571.0,0.2147,
2017-11-07 00:00:00,2794.1929,2832.1382,2792.7012,2821.9558,4936828000.0,62260600286.0,0.3187,
2017-11-08 00:00:00,2818.6698,2846.2997,2811.1058,2819.9571,4476853000.0,58278446355.0,0.289,
2017-11-09 00:00:00,2814.5684,2834.5103,2809.9574,2832.9612,3270423200.0,41950628735.0,0.2111,
2017-11-10 00:00:00,2828.1222,2867.0623,2827.7397,2862.3432,4419833800.0,61842416412.0,0.2853,
2017-11-13 00:00:00,2865.7827,2885.7022,2865.7209999999995,2873.5145,4845904900.0,57913427076.0,0.3128,
2017-11-14 00:00:00,2876.748,2882.7922,2853.7768,2861.4234,3603716000.0,50380322667.0,0.2326,
2017-11-15 00:00:00,2848.7673,2864.3659,2839.461,2850.0504,3297420900.0,46704463812.0,0.2128,
2017-11-16 00:00:00,2840.3621,2880.9834,2840.3621,2879.3977,3205182400.0,49388290032.0,0.2065,
2017-11-17 00:00:00,2868.5192,2940.7738,2867.5864,2938.7983,6847202300.0,94406687960.0,0.4411,
2017-11-20 00:00:00,2916.7381,2942.1402,2897.2049,2941.1532,4384076500.0,63399459397.0,0.2825,
2017-11-21 00:00:00,2928.9235,3012.8935,2927.61,2987.1731,6364868200.0,91543185659.0,0.4101,
2017-11-22 00:00:00,3001.9506,3038.2756,2989.8171,3012.3552,7455572900.0,99081500982.0,0.4803,
2017-11-23 00:00:00,3003.7768,3018.2596,2919.6522,2940.7256,6699098600.0,89773742201.0,0.4316,
2017-11-24 00:00:00,2934.4465,2949.7937,2907.1,2936.8339,4542629600.0,65421397402.0,0.2927,
2017-11-27 00:00:00,2928.3575,2928.8632,2885.6037,2917.3059999999996,5018719700.0,67344522314.0,0.3233,
2017-11-28 00:00:00,2900.0777,2908.3648,2872.534,2897.107,3069371000.0,42668016391.0,0.1978,
2017-11-29 00:00:00,2905.3313,2914.0667,2855.8527,2893.2825,3600523700.0,50246701565.0,0.23199999999999998,
2017-11-30 00:00:00,2878.5252,2895.5282,2850.3123,2863.4469,3580217800.0,51612041701.0,0.2307,
2017-12-01 00:00:00,2861.8966,2867.1148,2834.262,2842.1841,3078984400.0,45681945059.0,0.1984,
2017-12-04 00:00:00,2829.8111,2868.2937,2823.9355,2861.3609,2691190100.0,42169177864.0,0.1734,
2017-12-05 00:00:00,2852.8197,2922.3279,2851.3166,2910.4755,5959997200.0,78760354316.0,0.384,
2017-12-06 00:00:00,2897.2254,2897.2254,2845.1345,2875.7315,3169388300.0,46136992608.0,0.2042,
2017-12-07 00:00:00,2868.2037,2875.7407,2828.2335,2848.888,2794052700.0,39788412878.0,0.18,
2017-12-08 00:00:00,2843.2021,2872.8208,2832.7981,2865.3407,2536492700.0,37958647348.0,0.1634,
2017-12-11 00:00:00,2862.6063,2900.1668,2857.9828,2899.1036,2868775100.0,44155352637.0,0.1813,
2017-12-12 00:00:00,2897.6645,2900.2742,2849.3918,2850.1969,2608653100.0,36558523502.0,0.1648,
2017-12-13 00:00:00,2850.4681,2879.4054,2834.9278,2872.94,2238164900.0,33848005178.0,0.1414,
2017-12-14 00:00:00,2874.9463,2878.3211,2841.9207,2850.0458,2276671900.0,32316889274.0,0.1439,
2017-12-15 00:00:00,2844.1017,2846.5165,2817.3175,2820.1666,2666741800.0,35570708838.0,0.1685,
2017-12-18 00:00:00,2821.4191,2842.8138,2815.8199,2829.0585,2070257300.0,29731950926.0,0.1308,
2017-12-19 00:00:00,2829.5490000000004,2873.6011,2827.4384,2873.0302,2378916800.0,38584552516.0,0.1503,
2017-12-20 00:00:00,2874.0545,2887.2322,2861.5375,2879.6434,2845812300.0,41956966180.0,0.1798,
2017-12-21 00:00:00,2871.6834,2906.8072,2862.2294,2895.3659,2578156100.0,38962108359.0,0.1629,
2017-12-22 00:00:00,2891.7213,2897.0338,2876.0165,2880.7725,1895688000.0,27835325512.0,0.1198,
2017-12-25 00:00:00,2882.2781,2915.6089,2868.8613,2880.0968,2631409900.0,39860539032.0,0.1663,
2017-12-26 00:00:00,2878.7538,2897.6178,2868.6044,2894.3358,2700102300.0,37479220536.0,0.1706,
2017-12-27 00:00:00,2886.7003,2889.3088,2832.0229,2839.6346,3213867600.0,45980785891.0,0.2031,
