nav_date,close
2002-03-18,91.48
2002-03-19,91.45
2002-03-20,91.47
2002-03-21,91.59
2002-03-22,91.17
2002-03-25,91.62
2002-03-26,91.68
2002-03-27,91.74
2002-03-28,91.88
2002-03-29,91.88
2002-04-02,92.27
2002-04-03,92.17
2002-04-04,92.17
2002-04-05,91.98
2002-04-08,92.17
2002-04-09,92.14
2002-04-10,92.16
2002-04-11,92.1
2002-04-12,92.91
2002-04-15,93.61
2002-04-16,93.59
2002-04-17,93.39
2002-04-18,93.42
2002-04-19,93.5
2002-04-22,93.65
2002-04-23,93.63
2002-04-24,93.6
2002-04-25,93.54
2002-04-26,93.56
2002-04-29,93.63
2002-04-30,93.37
2002-05-01,93.01
2002-05-02,93.17
2002-05-03,92.98
2002-05-07,93.04
2002-05-08,93.09
2002-05-09,93.1
2002-05-10,93.05
2002-05-13,93.18
2002-05-14,93.4
2002-05-15,92.39
2002-05-16,92.36
2002-05-17,92.13
2002-05-20,92.24
2002-05-21,92.24
2002-05-22,92.07
2002-05-23,92.15
2002-05-24,92.22
2002-05-27,92.23
2002-05-28,92.25
2002-05-29,92.15
2002-05-30,91.37
2002-05-31,91.62
2002-06-05,91.57
2002-06-06,91.46
2002-06-07,91.52
2002-06-10,91.64
2002-06-11,91.78
2002-06-12,91.81
2002-06-13,91.89
2002-06-14,91.27
2002-06-17,91.5
2002-06-18,91.55
2002-06-19,91.44
2002-06-20,91.4
2002-06-21,91.19
2002-06-24,91.15
2002-06-25,91.29
2002-06-26,91.17
2002-06-27,87.75
2002-06-28,86.45
2002-07-01,86.55
2002-07-02,86.64
2002-07-03,86.72
2002-07-04,86.75
2002-07-05,86.87
2002-07-08,86.83
2002-07-09,86.88
2002-07-10,87.03
2002-07-11,87.06
2002-07-12,87.11
2002-07-15,85.46
2002-07-16,85.47
2002-07-17,85.5
2002-07-18,85.59
2002-07-19,85.55
2002-07-22,85.77
2002-07-23,85.96
2002-07-24,86.09
2002-07-25,85.96
2002-07-26,86.12
2002-07-29,86.34
2002-07-30,86.33
2002-07-31,83.71
2002-08-01,83.68
2002-08-02,83.86
2002-08-05,83.91
2002-08-06,83.9
2002-08-07,83.74
2002-08-08,83.8
2002-08-09,83.6
2002-08-12,83.69
2002-08-13,83.73
2002-08-14,83.06
2002-08-15,81.62
2002-08-16,81.57
2002-08-19,81.65
2002-08-20,81.57
2002-08-21,81.54
2002-08-22,81.79
2002-08-23,82.35
2002-08-27,82.62
2002-08-28,82.75
2002-08-29,82.84
2002-08-30,83.72
2002-09-02,83.68
2002-09-03,83.77
2002-09-04,83.86
2002-09-05,83.94
2002-09-06,84.04
2002-09-09,84.23
2002-09-10,84.35
2002-09-11,84.35
2002-09-12,84.79
2002-09-13,84.72
2002-09-16,85.21
2002-09-17,85.23
2002-09-18,85.15
2002-09-19,84.97
2002-09-20,84.72
2002-09-23,84.87
2002-09-24,84.9
2002-09-25,84.96
2002-09-26,83.47
2002-09-27,83.48
2002-09-30,82.29
2002-10-01,82.4
2002-10-02,82.33
2002-10-03,82.38
2002-10-04,82.49
2002-10-07,82.33
2002-10-08,82.3
2002-10-09,82.07
2002-10-10,82.07
2002-10-11,82.12
2002-10-14,82.14
2002-10-15,80.8
2002-10-16,80.92
2002-10-17,81.26
2002-10-18,81.2
2002-10-21,81.35
2002-10-22,81.4
2002-10-23,81.57
2002-10-24,81.64
2002-10-25,81.82
2002-10-28,81.88
2002-10-29,81.99
2002-10-30,81.96
2002-10-31,84.54
2002-11-01,84.51
2002-11-04,84.78
2002-11-05,85.74
2002-11-06,85.9
2002-11-07,86.0
2002-11-08,86.07
2002-11-11,86.1
2002-11-12,86.06
2002-11-13,86.09
2002-11-14,86.12
2002-11-15,88.24
2002-11-18,88.74
2002-11-19,88.77
2002-11-20,88.83
2002-11-21,89.22
2002-11-22,89.53
2002-11-25,89.54
2002-11-26,89.71
2002-11-27,89.58
2002-11-28,91.42
2002-11-29,91.53
2002-12-02,91.44
2002-12-03,91.55
2002-12-04,91.56
2002-12-05,91.63
2002-12-06,91.6
2002-12-09,91.74
2002-12-10,92.03
2002-12-11,91.59
2002-12-12,91.52
2002-12-13,92.16
2002-12-16,92.28
2002-12-17,92.37
2002-12-18,92.5
2002-12-19,92.67
2002-12-20,92.73
2002-12-23,92.94
2002-12-24,92.94
2002-12-27,92.9
2002-12-30,92.93
2002-12-31,92.89
2003-01-02,92.92
2003-01-03,92.95
2003-01-06,93.04
2003-01-07,93.12
2003-01-08,93.76
2003-01-09,94.98
2003-01-10,95.4
2003-01-13,95.75
2003-01-14,97.89
2003-01-15,97.82
2003-01-16,97.87
2003-01-17,97.92
2003-01-20,97.79
2003-01-21,97.81
2003-01-22,97.83
2003-01-23,97.87
2003-01-24,97.99
2003-01-27,97.97
2003-01-28,97.9
2003-01-29,97.88
2003-01-30,98.15
2003-01-31,97.78
2003-02-03,97.93
