DateTime,open,high,low,close,volume,amt,turn,ma_5,ma_10,ma_22,ma_66,ma_125,ma_250,macd,msign,mdiff,vortex_20,uos,tsi,trix_20,stok,std_10,rsi_k,rsi_20,mass,mom_15,bspoint,label,signal
2004/11/5,922.33,926.77,915.04,919.45,650600000,3995630000,0.6967,924.576,932.974,950.7436364,959.5725758,990.18296,1062.36612,-22.4743562,-17.74513392,-4.729222275,-0.340178142,2.91333178,-0.158231121,-0.000748722,0.375959079,12.02240519,0.447411536,30.91114897,24.1606272,-27.85,0,-1,0
2004/11/8,917.61,922.04,910.75,920.88,469540000,2896200000,0.5071,923.776,932.006,947.5109091,958.7530303,988.9056,1062.03332,-22.92465844,-18.78103883,-4.143619612,-0.450405306,3.284365528,-0.163756261,-0.000851172,0.897254207,12.61353435,0.428293954,29.98640113,23.80538531,-27.36,0,-1,0
2004/11/9,920.91,927.04,917.24,923.01,460040000,2673870000,0.4991,924.048,930.227,943.5513636,958.0810606,987.60616,1061.73252,-22.78842219,-19.5825155,-3.205906691,-0.338740385,3.329617669,-0.165888749,-0.000944312,0.58877551,12.48935729,0.458120757,31.41857454,23.55414103,-28.02,0,-1,0
2004/11/10,926.08,960.46,919.49,957.11,1651040000,9314130000,1.7692,927.822,930.855,941.48,958.019697,986.38128,1061.61672,-17.94369356,-19.25475111,1.31105755,-0.188938879,4.303556222,-0.12871281,-0.000996927,0.918232853,13.73610267,0.60887051,37.84459386,23.65157269,10.22,0,-1,0
2004/11/11,960.15,973.42,951.08,951.41,1819690000,10737920000,1.9462,934.372,930.955,940.0763636,957.4551515,985.15096,1061.47416,-14.77235315,-18.35827152,3.585918365,0.002236136,3.723729939,-0.104169244,-0.001022389,0.01477171,13.89698069,0.650539797,39.41376017,23.79043313,17.97,0,-1,0
2004/11/12,950.13,959.49,947.21,954.28,973650000,5632580000,1.06,941.338,932.957,938.8131818,957.1331818,984.1436,1061.29428,-11.7913556,-17.04488834,5.253532732,0.055008335,3.60617132,-0.081337538,-0.0010236,0.575732899,15.74514814,0.628442817,38.59164168,23.76736742,9.48,0,-1,0
2004/11/15,956.64,965.67,956.5,965.67,888890000,5225750000,0.9765,950.296,937.036,939.7181818,956.9762121,983.32608,1061.07388,-7.851454136,-15.2062015,7.354747361,0.090573392,4.166085207,-0.050609828,-0.000995663,1,18.46831292,0.649458418,39.37404003,23.70696617,35.11,0,-1,0
2004/11/16,967.29,969.37,959.95,966.01,911240000,5259630000,0.9893,958.896,941.472,940.5686364,956.7481818,982.4228,1060.86812,-4.670276237,-13.09901644,8.428740207,0.040402179,4.220168037,-0.025305407,-0.000945603,0.643312102,19.65166083,0.662105103,39.83533303,23.61475613,25.21,0,-1,0
2004/11/17,964.9,965.43,952.85,956.66,729030000,4307250000,0.7825,958.806,943.314,940.9513636,956.3140909,981.44944,1060.68704,-3.396940212,-11.1586012,7.761660986,0.095987663,3.939953277,-0.014036342,-0.000887955,0.302861685,20.17145904,0.61504364,38.08216846,23.55646793,5.83,0,-1,0
2004/11/18,955.04,965.09,955.04,965.05,658760000,4006870000,0.7129,961.534,947.953,941.5886364,956.1780303,980.59728,1060.59568,-1.259626009,-9.17880616,7.919180151,0.109620862,4.171576006,0.004075532,-0.000817803,0.9960199,19.18164809,0.61504364,38.08216846,23.36441362,14.64,0,-1,0
