DateTime,open,high,low,close,volume,amt,turn,bspoint,label
2015/7/13,3395.3,3520.62,3344.49,3459.51,44851260000,591000000000.0,2.076,0,-1.0
2015/7/14,3421.9,3483.69,3319.68,3361.17,39004740000,514000000000.0,1.8054,0,
2015/7/15,3324.3,3364.51,3191.18,3252.2,36376050000,440000000000.0,1.6833,0,1.0
2015/7/16,3237.86,3326.88,3168.55,3268.5,28285430000,350000000000.0,1.3079,0,
2015/7/17,3289.67,3422.88,3267.77,3390.41,28338040000,372000000000.0,1.3083,0,
2015/7/20,3393.1,3442.51,3352.01,3393.29,29976770000,409000000000.0,1.3825,0,
2015/7/21,3350.93,3422.83,3328.85,3392.24,27397650000,369000000000.0,1.2636,0,
2015/7/22,3377.36,3407.16,3334.07,3380.59,26659870000,366000000000.0,1.2296,0,
2015/7/23,3382.16,3461.93,3374.74,3453.17,29425140000,398000000000.0,1.3571,0,-1.0
2015/7/24,3456.14,3488.82,3373.23,3389.45,32594940000,442000000000.0,1.5033,0,
2015/7/27,3324.37,3364.99,3089.43,3090.72,30527420000,390000000000.0,1.4079,0,
2015/7/28,2988.02,3141.48,2940.38,3085.92,32214950000,400000000000.0,1.482,0,1.0
2015/7/29,3106.69,3179.28,3050.83,3176.31,22794720000,300000000000.0,1.0487,0,-1.0
2015/7/30,3165.27,3204.78,3073.17,3084.3,22366120000,306000000000.0,1.0289,0,
2015/7/31,3053.43,3121.52,3040.35,3084.1,18340740000,244000000000.0,0.8438,0,1.0
2015/8/3,3042.77,3093.59,3026.31,3093.59,20278780000,252000000000.0,0.9329,0,
2015/8/4,3091.22,3183.94,3071.25,3183.91,17722450000,230000000000.0,0.8153,0,-1.0
2015/8/5,3176.11,3192.93,3112.2,3116.65,16149050000,216000000000.0,0.7427,0,
2015/8/6,3065.63,3133.71,3059.24,3087.47,11899520000,156000000000.0,0.5473,0,1.0
2015/8/7,3115.88,3161.5,3108.21,3144.7,14530320000,193000000000.0,0.6683,0,
2015/8/10,3179.34,3303.8,3144.64,3290.7,25320690000,328000000000.0,1.1643,0,-1.0
2015/8/11,3291.13,3311.03,3256.17,3277.49,26874060000,343000000000.0,1.2357,0,
2015/8/12,3244.36,3286.13,3235.48,3236.01,21153360000,276000000000.0,0.9727,0,
2015/8/13,3232.26,3281.37,3197.6,3281.37,20051770000,258000000000.0,0.922,0,
2015/8/14,3297.86,3308.5,3265.93,3279.22,20653450000,273000000000.0,0.9497,0,
2015/8/17,3264.9,3275.4,3222.35,3271.34,21050900000,269000000000.0,0.9682,0,
2015/8/18,3274.65,3293.04,3063.65,3069.69,26274120000,338000000000.0,1.2084,0,
2015/8/19,3009.73,3123.69,2946.66,3114.26,22323060000,275000000000.0,1.0267,0,
2015/8/20,3085.1,3107.88,3013.7,3013.7,17428220000,218000000000.0,0.8009999999999999,0,
2015/8/21,2977.25,3011.39,2870.3,2879.62,18016910000,215000000000.0,0.828,0,
2015/8/24,2772.68,2782.94,2614.44,2622.11,22217190000,229000000000.0,1.018,0,
2015/8/25,2458.08,2565.04,2414.27,2434.24,23509620000,231000000000.0,1.0772,0,
2015/8/26,2449.12,2557.35,2362.01,2423.25,26030660000,258000000000.0,1.1919,0,1.0
2015/8/27,2478.5,2573.07,2426.86,2572.49,22945950000,234000000000.0,1.0507,0,
2015/8/28,2604.41,2689.7,2586.03,2679.98,25543800000,266000000000.0,1.1696,0,
2015/8/31,2652.51,2704.2,2567.95,2704.07,23839180000,255000000000.0,1.0908,0,
2015/9/1,2646.67,2716.34,2566.22,2709.42,30617910000,298000000000.0,1.4009,0,
2015/9/2,2597.37,2730.73,2591.66,2715.26,30621730000,298000000000.0,1.4011,0,-1.0
2015/9/7,2698.53,2754.89,2609.52,2616.54,17316930000,183000000000.0,0.7923,0,1.0
2015/9/8,2594.92,2688.57,2554.24,2683.94,12974520000,139000000000.0,0.5937,0,
2015/9/9,2692.5,2756.65,2682.18,2735.19,17773640000,205000000000.0,0.8132,0,-1.0
2015/9/10,2694.85,2732.72,2685.95,2703.58,11633380000,133000000000.0,0.5319,0,
2015/9/11,2696.63,2722.29,2669.52,2692.53,8506710000,101000000000.0,0.389,0,
2015/9/14,2707.41,2712.44,2573.6,2653.48,17029540000,185000000000.0,0.7786,0,
2015/9/15,2595.18,2617.24,2536.93,2554.75,11840600000,118000000000.0,0.5414,0,1.0
2015/9/16,2550.03,2707.01,2534.7,2675.74,13021550000,136000000000.0,0.5953,0,-1.0
2015/9/17,2657.8,2710.64,2618.39,2618.39,13473740000,151000000000.0,0.6157,0,1.0
2015/9/18,2631.93,2652.28,2611.46,2628.34,8433320000,95297260000.0,0.3853,0,
2015/9/21,2605.71,2673.74,2599.46,2670.29,9095220000,109000000000.0,0.4155,0,
2015/9/22,2673.05,2722.98,2665.7,2696.52,11332990000,136000000000.0,0.5177,0,-1.0
2015/9/23,2656.88,2674.27,2625.53,2631.13,8994030000,103000000000.0,0.4109,0,
2015/9/24,2644.18,2661.73,2626.93,2648.58,7590300000,92664300000.0,0.3468,0,
2015/9/25,2638.47,2653.28,2584.65,2608.81,9427870000,109000000000.0,0.4307,0,
2015/9/28,2603.11,2616.61,2571.56,2613.93,5637670000,67827350000.0,0.2575,0,
2015/9/29,2577.61,2585.44,2546.91,2563.0,6690970000,75362000000.0,0.3057,0,1.0
2015/9/30,2576.48,2600.56,2572.29,2583.96,6348500000,77620480000.0,0.2897,0,
2015/10/8,2685.22,2691.39,2656.61,2657.49,10332550000,129000000000.0,0.4715,0,
2015/10/9,2663.9,2701.2,2657.92,2692.07,9336120000,109000000000.0,0.4257,0,
2015/10/12,2700.78,2810.74,2697.91,2780.41,16936390000,199000000000.0,0.7723,0,
2015/10/13,2761.57,2781.66,2754.22,2776.97,10812410000,130000000000.0,0.493,0,
2015/10/14,2766.69,2789.46,2745.71,2747.68,11600360000,133000000000.0,0.5271,0,
2015/10/15,2745.93,2811.1,2745.41,2811.1,13021950000,152000000000.0,0.5917,0,
2015/10/16,2828.22,2850.85,2812.07,2848.33,16255880000,194000000000.0,0.7386,0,
2015/10/19,2860.51,2880.03,2824.73,2849.09,15282700000,189000000000.0,0.6943,0,
2015/10/20,2841.22,2881.4,2827.72,2881.4,13342020000,169000000000.0,0.6061,0,-1.0
2015/10/21,2881.86,2903.11,2761.82,2809.43,22376610000,256000000000.0,1.0165,0,1.0
2015/10/22,2788.26,2846.63,2778.84,2842.07,14558940000,175000000000.0,0.6614,0,
2015/10/23,2848.35,2880.44,2829.33,2871.13,14625530000,189000000000.0,0.6644,0,
2015/10/26,2904.62,2910.94,2864.41,2885.46,15052220000,206000000000.0,0.6838,0,
2015/10/27,2869.58,2891.57,2805.78,2886.72,12739750000,176000000000.0,0.5787,0,-1.0
2015/10/28,2874.35,2888.3,2828.02,2833.32,11332300000,155000000000.0,0.5148,0,
2015/10/29,2845.02,2861.25,2819.09,2838.46,8705900000,124000000000.0,0.3955,0,
2015/10/30,2835.73,2873.24,2810.99,2841.65,10179220000,144000000000.0,0.4624,0,
2015/11/2,2807.04,2848.74,2795.46,2795.46,9724730000,134000000000.0,0.4418,0,
2015/11/3,2801.98,2814.59,2776.39,2786.3,7630770000,104000000000.0,0.3467,0,1.0
2015/11/4,2795.38,2918.97,2795.38,2918.97,16086380000,217000000000.0,0.7308,0,
2015/11/5,2922.37,3055.0,2920.69,2991.12,33044300000,419000000000.0,1.5012,0,
2015/11/6,2984.65,3072.27,2980.6,3065.47,24628680000,330000000000.0,1.1189,0,
2015/11/9,3070.04,3153.76,3069.91,3107.04,29603080000,389000000000.0,1.3442,0,-1.0
2015/11/10,3077.64,3139.03,3071.19,3099.31,22416250000,310000000000.0,1.0179,0,
2015/11/11,3093.87,3104.89,3052.45,3095.12,17543390000,239000000000.0,0.7966,0,
2015/11/12,3102.21,3102.84,3042.36,3058.82,16306670000,234000000000.0,0.7404,0,
2015/11/13,3028.98,3061.49,3011.3,3023.98,15426580000,221000000000.0,0.7005,0,
2015/11/16,2973.63,3034.84,2972.91,3034.84,12265470000,176000000000.0,0.5547,0,
2015/11/17,3057.05,3110.66,3026.42,3032.48,18907820000,278000000000.0,0.8551,0,
2015/11/18,3034.54,3046.53,2994.43,3001.87,14893640000,210000000000.0,0.6735,0,
2015/11/19,3009.51,3047.22,3000.22,3047.22,11925210000,163000000000.0,0.5393,0,
2015/11/20,3050.03,3059.49,3027.11,3040.57,13297100000,182000000000.0,0.6013,0,
2015/11/23,3039.68,3058.88,3011.48,3019.66,12581060000,175000000000.0,0.569,0,
2015/11/24,3013.55,3020.93,2981.8,3020.93,10972540000,153000000000.0,0.4962,0,
2015/11/25,3014.76,3042.0,3005.71,3041.76,11497930000,168000000000.0,0.52,0,
2015/11/26,3053.02,3062.84,3022.87,3024.68,12682540000,188000000000.0,0.5736,0,
2015/11/27,3006.21,3009.42,2844.16,2861.36,15678210000,208000000000.0,0.7090000000000001,0,1.0
2015/11/30,2858.57,2883.43,2779.65,2864.63,13277000000,172000000000.0,0.6004,0,
2015/12/1,2861.24,2902.91,2839.15,2881.46,10214060000,133000000000.0,0.4619,0,
2015/12/2,2878.31,3000.95,2868.46,2997.65,17683560000,217000000000.0,0.7997,0,
2015/12/3,2985.99,3026.07,2970.29,3016.69,16725670000,198000000000.0,0.7558,0,-1.0
2015/12/4,2991.69,2995.79,2947.19,2955.03,11567670000,151000000000.0,0.5227,0,
2015/12/7,2958.15,2969.79,2938.09,2958.51,8271160000,117000000000.0,0.3738,0,
2015/12/8,2943.47,2943.51,2904.72,2907.22,9260910000,118000000000.0,0.4185,0,
2015/12/9,2900.46,2934.37,2899.93,2917.53,8391070000,112000000000.0,0.3792,0,
2015/12/10,2917.61,2955.97,2903.97,2909.48,9149070000,129000000000.0,0.4134,0,
2015/12/11,2895.69,2917.25,2874.99,2900.81,8432730000,112000000000.0,0.381,0,1.0
2015/12/14,2872.89,2985.28,2872.28,2984.18,11705330000,157000000000.0,0.5289,0,
2015/12/15,2981.16,2987.24,2954.04,2965.64,9514580000,141000000000.0,0.4299,0,
2015/12/16,2973.56,2980.41,2952.58,2958.77,8289930000,120000000000.0,0.3746,0,
2015/12/17,2980.25,3022.49,2976.58,3011.24,13275150000,180000000000.0,0.5999,0,
2015/12/18,3008.97,3056.95,3005.5,3020.48,13601370000,174000000000.0,0.6146,0,
2015/12/21,3014.09,3112.74,3013.14,3102.3,16995710000,219000000000.0,0.768,0,
2015/12/22,3106.1,3113.22,3082.86,3106.78,13334610000,175000000000.0,0.6025,0,-1.0
2015/12/23,3108.54,3151.8,3096.84,3102.17,15947070000,222000000000.0,0.7206,0,
2015/12/24,3096.02,3102.51,3038.68,3071.25,11279650000,154000000000.0,0.5097,0,
2015/12/25,3073.47,3086.15,3058.38,3078.96,9163820000,123000000000.0,0.4139,0,
2015/12/28,3087.08,3091.45,2991.22,2991.22,11845430000,158000000000.0,0.5351,0,
2015/12/29,2988.03,3019.21,2979.88,3019.21,7696000000,106000000000.0,0.3475,0,
2015/12/30,3020.5,3021.85,2989.65,3021.85,7572150000,109000000000.0,0.342,0,
2015/12/31,3018.62,3026.71,2992.86,2996.65,7581370000,105000000000.0,0.3423,0,
2016/1/4,2994.09,2996.42,2791.98,2792.04,8670980000,109000000000.0,0.3952,0,1.0
2016/1/5,2724.93,2831.79,2722.08,2803.05,12207420000,147000000000.0,0.5564,0,
2016/1/6,2804.85,2853.34,2794.65,2850.07,10890910000,122000000000.0,0.4964,0,-1.0
2016/1/7,2802.79,2838.26,2651.88,2660.47,3227920000,35460410000.0,0.1468,0,1.0
2016/1/8,2720.48,2760.52,2620.59,2715.02,14233110000,158000000000.0,0.6469,0,-1.0
2016/1/11,2667.75,2697.93,2584.91,2584.91,13329980000,142000000000.0,0.6056,0,
2016/1/12,2605.08,2625.48,2573.46,2602.66,9844060000,110000000000.0,0.4472,0,
2016/1/13,2623.8,2633.5,2555.91,2555.91,9119750000,102000000000.0,0.4146,0,
2016/1/14,2492.89,2607.08,2492.41,2603.29,10298310000,114000000000.0,0.4682,0,
2016/1/15,2586.55,2598.2,2508.72,2522.77,9430520000,102000000000.0,0.4287,0,1.0
2016/1/18,2482.73,2557.69,2482.73,2530.2,7625820000,84534150000.0,0.3464,0,
2016/1/19,2533.05,2608.46,2521.18,2605.11,9812760000,113000000000.0,0.4458,0,-1.0
2016/1/20,2590.23,2606.72,2549.77,2565.09,10261710000,113000000000.0,0.4662,0,
2016/1/21,2535.99,2582.73,2493.03,2493.03,8682990000,95600740000.0,0.3944,0,
2016/1/22,2519.19,2532.71,2470.83,2517.64,6815090000,74059580000.0,0.3095,0,
2016/1/25,2527.56,2541.42,2507.66,2526.32,6022270000,64251810000.0,0.2734,0,
2016/1/26,2501.52,2504.73,2372.82,2375.17,9551750000,97788980000.0,0.4333,0,
2016/1/27,2384.41,2392.51,2295.32,2365.88,9939970000,97439270000.0,0.4509,0,
2016/1/28,2348.95,2374.13,2296.45,2307.03,7581610000,74556840000.0,0.3441,0,1.0
2016/1/29,2308.32,2396.73,2308.32,2381.86,8916630000,88836310000.0,0.4046,0,
2016/2/1,2375.99,2377.89,2317.02,2341.52,6671760000,64824500000.0,0.3027,0,
2016/2/2,2341.29,2398.1,2341.29,2388.62,6862830000,69476250000.0,0.3113,0,
2016/2/3,2364.54,2381.26,2347.1,2377.06,5987420000,58765160000.0,0.2716,0,
2016/2/4,2387.57,2417.39,2387.55,2406.35,6915370000,70808290000.0,0.3132,0,
2016/2/5,2403.07,2407.55,2387.51,2387.8,5769390000,59676060000.0,0.2613,0,
2016/2/15,2326.42,2382.62,2326.42,2370.8,5387600000,53832980000.0,0.244,0,
2016/2/16,2384.26,2448.16,2384.24,2444.15,8437070000,85388130000.0,0.3822,0,
2016/2/17,2441.33,2465.0,2435.84,2463.98,9936690000,93914870000.0,0.4501,0,
2016/2/18,2476.93,2489.34,2453.28,2455.88,9365790000,93891030000.0,0.4242,0,
2016/2/19,2450.78,2464.06,2438.24,2452.86,6467670000,68791970000.0,0.293,0,
2016/2/22,2478.38,2515.18,2466.83,2507.51,10851900000,111000000000.0,0.4913,0,-1.0
2016/2/23,2506.41,2506.63,2459.52,2480.68,8177510000,86617790000.0,0.3702,0,
2016/2/24,2470.84,2497.57,2454.4,2497.57,8182690000,83771900000.0,0.3704,0,
2016/2/25,2493.24,2493.24,2339.26,2350.59,11729350000,113000000000.0,0.531,0,
2016/2/26,2369.24,2386.49,2339.09,2374.37,7848620000,74377390000.0,0.3553,0,
2016/2/29,2367.39,2367.39,2276.31,2324.1,9400590000,85972730000.0,0.4255,0,1.0
2016/3/1,2326.37,2380.94,2311.54,2364.29,8225150000,79496340000.0,0.3723,0,
2016/3/2,2367.48,2460.47,2367.26,2457.92,12970900000,122000000000.0,0.5871,0,
2016/3/3,2456.37,2475.58,2447.83,2462.81,13002040000,123000000000.0,0.5882,0,
