DateTime,open,high,low,close,volume,amt,turn
2015/10/12,5544.62,5786.18,5540,5735.59,19815050000,2.54E+11,4.0008
2015/10/13,5687.89,5827.32,5669.01,5815.2,17710850000,2.28E+11,3.573
2015/10/14,5792.05,5842.46,5726.88,5737.42,16876950000,2.24E+11,3.3978
2015/10/15,5705.03,5916.17,5705.03,5916.13,17636340000,2.35E+11,3.5486
2015/10/16,5956.81,6013.25,5872.15,6009.58,20710490000,2.79E+11,4.1639
2015/10/19,6026.48,6061.82,5924.86,6006.42,20195400000,2.79E+11,4.0564
2015/10/20,5993.82,6117.9,5968.61,6117.9,18747510000,2.61E+11,3.7581
2015/10/21,6118.56,6143.48,5716.31,5734.7,24072140000,3.25E+11,4.8206
2015/10/22,5724.13,5964.15,5717.87,5960.37,18698640000,2.56E+11,3.7419
2015/10/23,6010.15,6165.16,5986.19,6138.45,21312740000,3.06E+11,4.259
2015/10/26,6211.69,6232.07,6094.41,6179.66,21923880000,3.19E+11,4.3811
2015/10/27,6124.72,6252.61,5926.7,6219.14,19989720000,2.87E+11,3.988
2015/10/28,6175.15,6260.98,6050.29,6076.66,18600160000,2.72E+11,3.709
2015/10/29,6119.73,6196.46,6033.74,6129.69,15676990000,2.26E+11,3.1237
2015/10/30,6111.9,6196.74,6015.48,6108.03,16103400000,2.35E+11,3.2087
2015/11/2,5960.86,6144.93,5942,5961.62,15147900000,2.18E+11,3.0188
2015/11/3,5975.05,6016.33,5890.7,5945.57,12308610000,1.78E+11,2.4525
2015/11/4,5975.47,6253.34,5975.25,6253.34,18441920000,2.65E+11,3.6737
2015/11/5,6266.68,6337.23,6202.84,6256.77,23290320000,3.27E+11,4.6364
2015/11/6,6263.16,6410.53,6263.16,6404.51,19943650000,2.91E+11,3.9685
2015/11/9,6365.37,6535.18,6306.95,6501.22,22150240000,3.30E+11,4.4069
2015/11/10,6469.23,6587.11,6451.84,6550.59,21880020000,3.27E+11,4.3528
2015/11/11,6556.93,6661.69,6530.84,6660.61,20182530000,3.08E+11,4.0124
2015/11/12,6684.32,6740.13,6588.25,6687.66,21623350000,3.44E+11,4.2982
2015/11/13,6616.59,6657.35,6482.33,6558.89,20013620000,3.15E+11,3.9647
2015/11/16,6441.18,6707.61,6436.05,6707.61,16258650000,2.54E+11,3.2208
2015/11/17,6773.05,6802.15,6641.27,6654.71,21899290000,3.48E+11,4.3369
2015/11/18,6661.81,6707.15,6527.23,6543.63,16574380000,2.61E+11,3.2817
2015/11/19,6564.68,6727.83,6557.14,6727.83,15706850000,2.54E+11,3.1099
2015/11/20,6746.57,6864.66,6744.28,6836.67,19939260000,3.28E+11,3.9409
2015/11/23,6842.07,6902.55,6748.17,6777.89,20896540000,3.25E+11,4.1266
2015/11/24,6769.54,6838.62,6681.17,6838.62,15503410000,2.45E+11,3.0621
2015/11/25,6844.39,6974.94,6844.39,6969.3,18037790000,3.02E+11,3.5615
2015/11/26,7000.5,7017.89,6908.14,6924.4,19598150000,3.24E+11,3.8685
