date,open,close,high,low,volume
2015/8/17,3346.1,3398.596,3413.644,3290.971,11126659.7
2015/8/18,3383.545,3066.349,3408.723,3063.222,11995620.9
2015/8/19,2934.308,3141.597,3167.477,2828.768,11273154
2015/8/20,3094.152,3027.088,3194.17,3026.127,9953667.2
2015/8/21,2938.931,2798.511,2978.901,2787.639,8410581.8
2015/8/24,2630.659,2517.96,2646.808,2517.96,5361256.7
2015/8/25,2301.782,2269.678,2364.784,2267.79,6022084.8
2015/8/26,2270.481,2153.971,2369.732,2114.252,10501518.2
2015/8/27,2207.91,2259.339,2259.339,2084.472,8765224.4
2015/8/28,2304.714,2440.408,2440.408,2278.75,10282833.8
2015/8/31,2411.322,2273.115,2411.322,2272.318,7783513.3
2015/9/1,2247.542,2078.369,2247.542,2074.982,7897654.3
2015/9/2,1943.699,1981.237,2155.65,1939.16,7813725.7
2015/9/7,2032.377,2048.599,2127.064,2019.293,7788517.5
2015/9/8,2032.82,2203.396,2207.152,2019.235,7139908.8
2015/9/9,2235.232,2327.011,2327.011,2234.333,10469819.2
2015/9/10,2281.088,2267.363,2328.34,2264.799,7024835.1
2015/9/11,2264.771,2310.72,2334.273,2257.553,6954607.9
2015/9/14,2327.632,2091.105,2335.608,2085.617,7497398.4
2015/9/15,1999.924,1928.216,2057.865,1918.98,6486275.1
2015/9/16,1941.874,2107.028,2111.435,1939.745,7704506.2
2015/9/17,2111.505,2083.85,2213.454,2083.85,9703143.6
2015/9/18,2104.178,2143.686,2154.318,2073.303,6332087.3
2015/9/21,2109.001,2260.817,2262.403,2096.096,7864147.3
2015/9/22,2266.016,2272.347,2301.24,2226,9066590
2015/9/23,2223.627,2253.668,2287.889,2216.038,7282807.6
2015/9/24,2268.812,2282.605,2310.189,2253.668,6090715.7
2015/9/25,2265.628,2161.809,2287.124,2135.97,6719844.5
2015/9/28,2167.393,2241.882,2241.882,2130.246,4692725.7
2015/9/29,2192,2200.613,2232.639,2170.599,4751434.8
2015/9/30,2211.711,2215.433,2239.325,2187.993,4019175.6
2015/10/8,2308.481,2342.358,2354.82,2287.157,6877042.7
2015/10/9,2329.78,2393.22,2402.781,2329.24,7277110.5
2015/10/12,2403.092,2504.754,2538.657,2401.895,9861767.1
2015/10/13,2481.624,2544.569,2549.056,2469.009,8715701.7
2015/10/14,2523.021,2490.916,2556.967,2486.152,8091301
2015/10/15,2478.15,2629.473,2631.6,2477.527,9668027.4
2015/10/16,2657.893,2665.67,2673.558,2594.394,10367563.9
2015/10/19,2678.302,2670.49,2687.846,2620.637,10310269.4
2015/10/20,2670.717,2764.184,2772.082,2668.33,10350876.1
2015/10/21,2771.359,2541.696,2778.122,2532.639,12988362.5
2015/10/22,2537.045,2670.24,2672.674,2531.096,9920345.1
